device_aid,cafe_cluster,ping_cluster,restaurant_cluster,cafe_richness_score,ping_richness_score,restaurant_richness_score,OverallRichnessScore
01f9a094-a0d9-4b40-9442-8702ddb8557a,4,1,2,20.61108585914832,281.3999559238771,12.502815227111812,60.02176222058486
01fbb941-017f-471e-a16d-969b9d688357,0,0,4,17.80791896661847,32.50396825396825,15.247667882027104,18.97713497221442
01fbca42-55ef-492b-b745-6e69e330e9d2,0,1,2,17.80791896661847,281.3999559238771,12.502815227111812,59.08737325640825
02020f7b-ebb6-4bd8-8f2e-50c796e67f14,9,0,6,17.77219711428424,32.50396825396825,15.52557479783676,19.104181146007836
0202ecac-dfff-4534-8df1-3c5422a1251b,0,1,1,17.80791896661847,281.3999559238771,11.971680791222932,58.8218060384638
0207472a-1414-49b9-a626-4706ba987183,1,2,1,18.15067414434237,15.53125,11.971680791222932,14.624606777058924
020ea9c9-d4d6-4711-93b0-fc7646cb3776,1,1,0,18.15067414434237,281.3999559238771,15.44537012874073,60.672902433130666
02147fa3-2d56-473e-adab-20c53ac344b3,1,1,2,18.15067414434237,281.3999559238771,12.502815227111812,59.20162498231621
021de3e1-87af-4b4a-9603-b60c79bc4a38,3,1,3,24.833384017079982,281.3999559238771,16.279023829441762,63.3172992410604
021e421e-f900-401a-a820-e1f884d2c782,9,2,4,17.77219711428424,15.53125,15.247667882027104,16.136441312441633
021edc3e-ce75-4edb-81d1-067d88be791b,1,1,6,18.15067414434237,281.3999559238771,15.52557479783676,60.71300476767868
0224e8c3-8d41-44b6-854e-824c29ed7f28,2,0,2,18.280502475988474,32.50396825396825,12.502815227111812,17.76223648121344
022d647b-d3b9-486d-aefd-c38fb1b98ab8,4,1,2,20.61108585914832,281.3999559238771,12.502815227111812,60.02176222058486
0232ec15-3791-4827-a315-985d085b8983,6,2,1,17.463155070668606,15.53125,11.971680791222932,14.395433752501
0235ce4f-8606-46b7-88d2-fddfdd7a623a,2,1,3,18.280502475988474,281.3999559238771,16.279023829441762,61.13300539402989
0238c899-220a-6ec0-bdba-12819b90d05a,9,2,4,17.77219711428424,15.53125,15.247667882027104,16.136441312441633
023cfa40-efd2-40a3-957d-e561abc48648,8,1,6,19.728995826409644,281.3999559238771,15.52557479783676,61.23911199503444
02481037-b77f-4531-ab57-2623d5e06c2f,1,2,2,18.15067414434237,15.53125,12.502815227111812,14.890173995003364
0256ae69-69b7-4f65-9897-0fc6ea1dbd7b,2,1,1,18.280502475988474,281.3999559238771,11.971680791222932,58.979333874920464
0257c9a8-e30c-44ea-bdcd-db524f7b4d46,3,1,2,24.833384017079982,281.3999559238771,12.502815227111812,61.42919493989542
025a2bc5-9059-482e-ac93-f7feca85fda9,8,1,1,19.728995826409644,281.3999559238771,11.971680791222932,59.462164991727526
02620f5e-85ee-478c-98ec-c1cf3527ddc1,2,1,6,18.280502475988474,281.3999559238771,15.52557479783676,60.756280878227386
0262a031-2dab-4781-97b5-ecb5e1084257,1,2,4,18.15067414434237,15.53125,15.247667882027104,16.262600322461008
02673a6f-edea-4571-8dc1-2a8ebf3be73f,0,2,2,17.80791896661847,15.53125,12.502815227111812,14.775922269095396
02698c5a-63a8-4e96-a2ee-d4c4b7aaff8e,6,2,0,17.463155070668606,15.53125,15.44537012874073,16.1322784212599
02712699-4a57-400b-a04a-d39bd5c8eba1,2,1,3,18.280502475988474,281.3999559238771,16.279023829441762,61.13300539402989
02756208-bcb9-4394-80be-7520f5ff9138,9,1,3,17.77219711428424,281.3999559238771,16.279023829441762,60.96357027346181
0283f541-36f7-4fcb-a247-775afc018bb7,3,1,4,24.833384017079982,281.3999559238771,15.247667882027104,62.80162126735306
0297afe4-1449-439c-aa14-028f1005d99a,3,1,4,24.833384017079982,281.3999559238771,15.247667882027104,62.80162126735306
0297cc67-fd85-4801-a500-381ec05ffd8f,6,2,2,17.463155070668606,15.53125,12.502815227111812,14.661000970445443
029c46a4-b969-47ef-9a96-6f7a201a6b62,3,2,1,24.833384017079982,15.53125,11.971680791222932,16.852176734638125
029d1760-297c-41b7-8a67-dfd43c25f73d,2,1,3,18.280502475988474,281.3999559238771,16.279023829441762,61.13300539402989
02a80ea6-6703-6cc7-1bc4-0ff33d61cbc1,4,1,3,20.61108585914832,281.3999559238771,16.279023829441762,61.90986652174984
02a822a8-377b-4ac6-a733-70c5a342658d,0,1,1,17.80791896661847,281.3999559238771,11.971680791222932,58.8218060384638
02adcd6c-c812-4a95-935b-e2d4b6a65268,3,1,3,24.833384017079982,281.3999559238771,16.279023829441762,63.3172992410604
02b43ed6-a9d4-4347-842f-4781873dbf3c,3,1,2,24.833384017079982,281.3999559238771,12.502815227111812,61.42919493989542
02b7c533-b009-470a-94cb-e8dd32921e53,6,1,2,17.463155070668606,281.3999559238771,12.502815227111812,58.972451957758295
02bb1b0f-80a5-4fa2-ae38-953891c59944,9,2,2,17.77219711428424,15.53125,12.502815227111812,14.764014984983987
02be62b5-3ecf-4894-80b1-b26fef260a3f,3,1,0,24.833384017079982,281.3999559238771,15.44537012874073,62.90047239070987
02c9f14a-0cf9-6a4a-abc5-b70d09ac264b,0,1,6,17.80791896661847,281.3999559238771,15.52557479783676,60.59875304177072
02ccff1c-55bf-44e6-917f-7a8f34997a57,2,2,1,18.280502475988474,15.53125,11.971680791222932,14.667882887607623
02d3cd13-6224-45ed-8c6b-b7a3f72279ef,3,1,0,24.833384017079982,281.3999559238771,15.44537012874073,62.90047239070987
02d49c46-cfba-4bfb-9a46-5fa417c4ac6e,3,1,2,24.833384017079982,281.3999559238771,12.502815227111812,61.42919493989542
02d7324d-de79-4f15-b81c-ea14a406c38d,3,1,1,24.833384017079982,281.3999559238771,11.971680791222932,61.16362772195098
02da2a0b-ca59-4747-a638-2af500d88bde,9,2,2,17.77219711428424,15.53125,12.502815227111812,14.764014984983987
02e89f6d-450d-461d-8768-33ad89b8df44,3,1,2,24.833384017079982,281.3999559238771,12.502815227111812,61.42919493989542
02e9dfe1-1f9a-47ad-bae7-5e06cd6c38c9,9,1,2,17.77219711428424,281.3999559238771,12.502815227111812,59.07546597229683
02f95b82-a235-489f-8a34-423f64a2c503,3,1,1,24.833384017079982,281.3999559238771,11.971680791222932,61.16362772195098
030cbafb-a709-40c9-9d3b-47447c104b5c,6,1,1,17.463155070668606,281.3999559238771,11.971680791222932,58.70688473981386
030ce7ec-9ac7-4852-9eb1-3b019bf46779,1,2,0,18.15067414434237,15.53125,15.44537012874073,16.36145144581782
030f1519-095b-6e09-2101-e8f0987af740,3,1,2,24.833384017079982,281.3999559238771,12.502815227111812,61.42919493989542
